player,matches,runs,balls,strike_rate,wickets,balls_bowled,runs_conceded,economy,recent_form,performance_score
BB McCullum,109.0,0.359620663838283,2272.0,0.4228286384976526,0.0,0.0,0.0,0.0,0.47,0.25507439196781223
BB Samantray,8.0,0.015597704017968556,116.0,0.35919540229885066,0.0,0.0,0.0,0.0,0.3591954022988506,0.11321781709594418
BB Sran,7.0,0.0012478163214374844,14.0,0.2380952380952381,0.09389671361502347,516.0,767.0,0.2477390180878553,0.23809523809523808,0.07056558373604488
BCJ Cutting,17.0,0.02969802845021213,146.0,0.54337899543379,0.056338028169014086,288.0,430.0,0.2488425925925926,0.54337899543379,0.16260825637070547
BE Hendricks,2.0,0.00012478163214374845,3.0,0.1111111111111111,0.051643192488262914,157.0,239.0,0.2537154989384289,0.1111111111111111,0.020916255132806483
BJ Haddin,1.0,0.002246069378587472,11.0,0.5454545454545455,0.0,0.0,0.0,0.0,0.5454545454545454,0.16442248791886926
BJ Hodge,63.0,0.17469428500124784,1153.0,0.4047412546978896,0.08450704225352113,238.0,310.0,0.21708683473389356,0.44,0.18374639051490005
BJ Rohrer,8.0,0.02408285500374345,146.0,0.4406392694063927,0.0,7.0,12.0,0.28571428571428564,0.44063926940639264,0.11204935150179944
BMAJ Mendis,3.0,0.0028699775393062144,27.0,0.28395061728395066,0.004694835680751174,30.0,36.0,0.19999999999999996,0.2839506172839506,0.06736338624413016
BR Dunk,3.0,0.0049912652857499375,36.0,0.3703703703703704,0.0,0.0,0.0,0.0,0.37037037037037035,0.1128580539611236
BR Sharath,1.0,0.0002495632642874969,5.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.13333333333333333,0.040087347142500625
BW Hilfenhaus,0.0,0.0,0.0,0.0,0.107981220657277,390.0,497.0,0.21239316239316236,0.0,0.005755988925003012
Basil Thampi,7.0,0.00399301222859995,37.0,0.2882882882882883,0.12206572769953052,539.0,862.0,0.2665429808286951,0.2882882882882883,0.09174617460850959
Bipul Sharma,17.0,0.02333416521088096,124.0,0.5026881720430108,0.10328638497652583,436.0,581.0,0.22209480122324154,0.5026881720430108,0.16258552555851888
C Ganapathy,0.0,0.0,0.0,0.0,0.0,6.0,13.0,0.3611111111111111,0.0,-0.036111111111111115
C Green,28.0,0.08822061392563016,472.0,0.49929378531073443,0.09389671361502347,462.0,675.0,0.24350649350649353,0.49666666666666665,0.179657523588094
C Madan,1.0,0.0018717244821562268,21.0,0.2380952380952381,0.0,0.0,0.0,0.0,0.23809523809523808,0.07208367499732611
C Munro,11.0,0.022086348889443476,144.0,0.40972222222222227,0.0,12.0,15.0,0.20833333333333331,0.4097222222222222,0.10981355544463856
C Nanda,1.0,0.0,1.0,0.0,0.009389671361502348,50.0,58.0,0.1933333333333333,0.0,-0.016985915492957745
C Sakariya,7.0,0.0024956326428749688,31.0,0.21505376344086022,0.09389671361502347,460.0,610.0,0.22101449275362314,0.2150537634408602,0.06676232958565786
C de Grandhomme,21.0,0.03780883453955578,229.0,0.44104803493449785,0.03286384976525822,230.0,323.0,0.23405797101449277,0.44104803493449785,0.13035766790905917
CA Ingram,15.0,0.025580234589468433,183.0,0.37340619307832423,0.0,0.0,0.0,0.0,0.3734061930783242,0.12097494002981121
CA Lynn,42.0,0.16583478911904168,974.0,0.4548254620123204,0.0,0.0,0.0,0.0,0.4722222222222222,0.1953596528058558
CA Pujara,22.0,0.04866483653606189,403.0,0.32258064516129037,0.0,0.0,0.0,0.0,0.3244444444444444,0.11390007630016648
CH Gayle,141.0,0.623533815822311,3516.0,0.4737390974592341,0.0892018779342723,584.0,755.0,0.21546803652968036,0.4322222222222222,0.3590363868443285
CH Morris,49.0,0.07711504866483654,413.0,0.4987893462469734,0.5023474178403756,1801.0,2377.0,0.21997038682213585,0.47777777777777775,0.27916630826120536
